3133	1843
3133	1806.58
3133	1770.17
3133	1733.75
3133	1697.33
3133	1660.92
3133	1624.5
3133	1588.08
3133	1551.67
3133	1515.25
3133	1478.83
3133	1442.42
3133	1406
3133	1369.58
3133	1333.17
3133	1296.75
3133	1260.33
3133	1223.92
3133	1187.5
3133	1151.08
3133	1114.67
3133	1078.25
3133	1041.83
3133	1005.42
3133	969
3133	932.583
3133	896.167
3133	859.75
3133	823.333
3133	786.917
3133	750.5
3133	714.083
3133	677.667
3133	641.25
3133	604.833
3133	568.417
3133	532
3095.84	532
3058.69	532
3021.53	532
2984.37	532
2947.21	532
2910.06	532
2872.9	532
2835.74	532
2798.59	532
2761.43	532
2724.27	532
2687.11	532
2649.96	532
2612.8	532
2575.64	532
2538.49	532
2501.33	532
2464.17	532
2427.01	532
2389.86	532
2352.7	532
2315.54	532
2278.39	532
2241.23	532
2204.07	532
2166.91	532
2129.76	532
2092.6	532
2055.44	532
2018.29	532
1981.13	532
1943.97	532
1906.81	532
1869.66	532
1832.5	532
1795.34	532
1758.19	532
1721.03	532
1683.87	532
1646.71	532
1609.56	532
1572.4	532
1535.24	532
1498.09	532
1460.93	532
1423.77	532
1386.61	532
1349.46	532
1312.3	532
1275.14	532
1237.99	532
1200.83	532
1163.67	532
1126.51	532
1089.36	532
1052.2	532
1015.04	532
977.886	532
940.729	532
903.571	532
866.414	532
829.257	532
792.1	532
754.943	532
717.786	532
680.629	532
643.471	532
606.314	532
569.157	532
532	532
532	568.417
532	604.833
532	641.25
532	677.667
532	714.083
532	750.5
532	786.917
532	823.333
532	859.75
532	896.167
532	932.583
532	969
532	1005.42
532	1041.83
532	1078.25
532	1114.67
532	1151.08
532	1187.5
532	1223.92
532	1260.33
532	1296.75
532	1333.17
532	1369.58
532	1406
532	1442.42
532	1478.83
532	1515.25
532	1551.67
532	1588.08
532	1624.5
532	1660.92
532	1697.33
532	1733.75
532	1770.17
532	1806.58
532	1843
569.157	1843
606.314	1843
643.471	1843
680.629	1843
717.786	1843
754.943	1843
792.1	1843
829.257	1843
866.414	1843
903.571	1843
940.729	1843
977.886	1843
1015.04	1843
1052.2	1843
1089.36	1843
1126.51	1843
1163.67	1843
1200.83	1843
1237.99	1843
1275.14	1843
1312.3	1843
1349.46	1843
1386.61	1843
1423.77	1843
1460.93	1843
1498.09	1843
1535.24	1843
1572.4	1843
1609.56	1843
1646.71	1843
1683.87	1843
1721.03	1843
1758.19	1843
1795.34	1843
1832.5	1843
1869.66	1843
1906.81	1843
1943.97	1843
1981.13	1843
2018.29	1843
2055.44	1843
2092.6	1843
2129.76	1843
2166.91	1843
2204.07	1843
2241.23	1843
2278.39	1843
2315.54	1843
2352.7	1843
2389.86	1843
2427.01	1843
2464.17	1843
2501.33	1843
2538.49	1843
2575.64	1843
2612.8	1843
2649.96	1843
2687.11	1843
2724.27	1843
2761.43	1843
2798.59	1843
2835.74	1843
2872.9	1843
2910.06	1843
2947.21	1843
2984.37	1843
3021.53	1843
3058.69	1843
3095.84	1843
3133	1843
